minute_bin,direction,motor_speed,voltage_std,sample_count,angle_mean,material,grouped_speed
38,Decreasing,21.0,0.06254832323625352,12004,46.575390625,acetal,21
39,Decreasing,21.0,0.06328616468664822,11998,46.31435114503817,acetal,21
40,Decreasing,21.0,0.06425128972650522,12000,47.16531746031746,acetal,21
41,Decreasing,16.0,0.06518146890178277,11260,44.20448275862069,acetal,16
42,Decreasing,16.0,0.06454921425430243,12000,44.011515151515155,acetal,16
43,Decreasing,16.0,0.06734707566681929,11998,43.333383458646615,acetal,16
44,Decreasing,16.0,0.0650631011064463,11998,43.864580152671756,acetal,16
45,Decreasing,16.0,0.06405962605471552,12002,43.55464566929133,acetal,16
46,Decreasing,11.0,0.0662699934802501,11146,39.87275229357798,acetal,11
47,Decreasing,11.0,0.06780854500391215,12002,39.56519379844961,acetal,11
48,Decreasing,11.0,0.06796663244701942,11998,39.48031496062992,acetal,11
49,Decreasing,11.0,0.06743600623243556,12002,39.6892561983471,acetal,11
50,Decreasing,11.0,0.06709949586710034,11998,39.33387096774193,acetal,11
51,Decreasing,6.0,0.06570374121396512,11064,35.122410714285714,acetal,6
52,Decreasing,6.0,0.06488305419311212,12000,35.17852173913043,acetal,6
53,Decreasing,6.0,0.06427250828856218,11998,35.07306451612904,acetal,6
54,Decreasing,6.0,0.06359455998312712,12002,35.76930232558139,acetal,6
55,Decreasing,6.0,0.06443448924770927,12000,34.963153846153844,acetal,6
56,Decreasing,1.0,0.06175594651791699,10974,29.30731707317073,acetal,1
57,Decreasing,1.0,0.060294978076550425,12002,30.324719101123595,acetal,1
58,Decreasing,1.0,0.05974800099994833,11996,29.951785714285712,acetal,1
59,Decreasing,1.0,0.052872965665306006,12002,30.013636363636365,acetal,1
60,Decreasing,1.0,0.05486831373310868,11998,30.317619047619047,acetal,1
1,Increasing,1.0,0.005070955753482924,12000,29.83742857142857,acetal,1
2,Increasing,1.0,0.005254450772425368,11998,28.154166666666665,acetal,1
3,Increasing,1.0,0.006487623873902683,12002,30.388387096774192,acetal,1
4,Increasing,1.0,0.00722825395310666,11998,29.71666666666667,acetal,1
5,Increasing,1.0,0.007859235784060442,11998,30.571290322580648,acetal,1
6,Increasing,6.0,0.011045909015212236,11924,29.49036585365854,acetal,6
7,Increasing,6.0,0.015358248685255952,11998,29.966736842105266,acetal,6
8,Increasing,6.0,0.01939884395945347,12002,28.692470588235295,acetal,6
9,Increasing,6.0,0.0228016792513674,11998,28.8980487804878,acetal,6
10,Increasing,6.0,0.026859534637373877,12002,29.40625,acetal,6
11,Increasing,11.0,0.0313424789502018,11832,31.70041666666667,acetal,11
12,Increasing,11.0,0.03727916812510955,12002,33.07968421052632,acetal,11
13,Increasing,11.0,0.04278915545840797,12000,34.717395833333335,acetal,11
14,Increasing,11.0,0.049030935961611136,12000,37.16882352941177,acetal,11
