direction,motor_speed,voltage_std,sample_count,t_avg,angle_mean,minute_bin,material,grouped_speed
Increasing,16.0,0.011332464513701306,12024,1765393038.5224266,31.47808695652174,4,acrylic,16
Increasing,21.0,0.015441979482779143,12034,1765393098.6673608,33.318130841121494,5,acrylic,21
Increasing,26.0,0.019418668241700413,12022,1765393158.8085563,35.655901639344265,6,acrylic,26
Decreasing,1.0,0.007261352885706163,12034,1765227622.9338167,35.45655172413793,12,nylon,1
Decreasing,6.0,0.009953075547023453,12052,1765227562.7193062,33.573750000000004,11,nylon,6
Decreasing,11.0,0.010490514295314479,12052,1765227502.458416,35.30422222222222,10,nylon,11
Decreasing,16.0,0.010715959145175123,12026,1765227442.2635787,37.39454545454545,9,nylon,16
Decreasing,21.0,0.010888755592643691,12012,1765227382.167278,38.36990909090909,8,nylon,21
Decreasing,26.0,0.010794873166880197,12034,1765227322.052978,39.41333333333333,7,nylon,26
Increasing,1.0,0.0031711912055607185,12040,1765226960.8451312,36.387692307692305,1,nylon,1
Increasing,6.0,0.004086525783283333,12042,1765227021.050488,32.37966292134831,2,nylon,6
Increasing,11.0,0.006288835562527869,12060,1765227081.3059616,34.67733333333333,3,nylon,11
Increasing,16.0,0.008459565468285881,12038,1765227141.5513563,36.6568,4,nylon,16
Increasing,21.0,0.009820102365219022,12028,1765227201.7169132,38.56633663366336,5,nylon,21
Increasing,26.0,0.010392225071888361,12036,1765227261.8766637,39.680689655172415,6,nylon,26
Decreasing,1.0,0.006115878329762435,12024,1765228744.745772,37.28916666666667,12,nylon,1
Decreasing,6.0,0.009373324252563294,12034,1765228684.6007617,33.7316091954023,11,nylon,6
Decreasing,11.0,0.010180292003498367,12034,1765228624.4301715,35.592127659574466,10,nylon,11
Decreasing,16.0,0.010351662394746773,12032,1765228564.2655122,37.28769230769231,9,nylon,16
Decreasing,21.0,0.010295788708920381,12034,1765228504.0995476,38.85130841121495,8,nylon,21
Decreasing,26.0,0.010218727718847454,12044,1765228443.9046266,40.247920792079206,7,nylon,26
Increasing,1.0,0.0029073055208701883,12044,1765228082.7318912,36.996923076923075,1,nylon,1
Increasing,6.0,0.0031201913065775472,12030,1765228142.917171,33.29752941176471,2,nylon,6
Increasing,11.0,0.005441069157054228,12044,1765228203.1031008,35.24477777777778,3,nylon,11
Increasing,16.0,0.00787256541818411,12020,1765228263.2629266,36.99613861386139,4,nylon,16
Increasing,21.0,0.009256153719477994,12048,1765228323.433786,38.71980952380952,5,nylon,21
Increasing,26.0,0.009942010137472644,12048,1765228383.673648,39.9987610619469,6,nylon,26
Decreasing,1.0,0.006845320408461655,12034,1765226357.2757695,36.13375,12,nylon,1
Decreasing,6.0,0.010265894750331161,12030,1765226297.1162763,32.78223684210526,11,nylon,6
Decreasing,11.0,0.01091185750963827,12020,1765226236.9903245,34.39714285714286,10,nylon,11
Decreasing,16.0,0.01115152532195677,12040,1765226176.8404298,36.20525773195876,9,nylon,16
Decreasing,21.0,0.011064352040970695,12068,1765226116.5694618,37.87935185185185,8,nylon,21
Decreasing,26.0,0.010817965075058318,12042,1765226056.2944646,38.83102564102564,7,nylon,26
Increasing,1.0,0.003189860858947557,12046,1765225695.2017179,34.271,1,nylon,1
Increasing,6.0,0.00378530042090636,12034,1765225755.4022996,32.13712643678161,2,nylon,6
Increasing,11.0,0.005777019561891711,12026,1765225815.552745,34.093163265306124,3,nylon,11
Increasing,16.0,0.008157577672632803,12042,1765225875.72309,35.74421568627451,4,nylon,16
Increasing,21.0,0.009584878825076344,12028,1765225935.8985906,37.918118811881186,5,nylon,21
Increasing,26.0,0.01040770132999611,12044,1765225996.0790172,38.770535714285714,6,nylon,26
Decreasing,1.0,0.02565616583927488,12032,1765500978.8083315,28.85698113207547,12,teflon,1
Decreasing,6.0,0.03910269161135887,12022,1765500918.6726656,31.456770833333334,11,teflon,6
Decreasing,11.0,0.046694397390852,12038,1765500858.5220363,34.40354838709678,10,teflon,11
Decreasing,16.0,0.05046690358752548,12034,1765500798.3417842,37.266137931034486,9,teflon,16
Decreasing,21.0,0.053350895910681984,12032,1765500738.1759508,40.12283783783784,8,teflon,21
Decreasing,26.0,0.0551794099196409,12032,1765500678.0158842,42.99547619047619,7,teflon,26
Increasing,1.0,0.004893353139844978,12030,1765500317.007038,28.25326923076923,1,teflon,1
Increasing,6.0,0.013450504030635087,12026,1765500377.1472285,29.959767441860464,2,teflon,6
Increasing,11.0,0.029256134263906636,12042,1765500437.3184655,33.10927927927928,3,teflon,11
