index,timestamp,seq,ms,motor_angle_deg,motor_speed,CH0_volts,CH2_volts,CH3_volts,ellipse_angle_deg,ellipse_area_px2,frame_name,ch2_dv/dt,ch3_dv/dt,ch2_flag,ch3_flag
64,1760814913.1796875,99739,998912,0.0,1.0,-3.072000,0.001125,0.001500,28.75,66059.0,1760814913115_frame_000006.jpg,-0.225000,0.000000,False,False
65,1760814913.183294,99740,998922,0.0,1.0,-3.072000,0.002250,-0.000375,28.75,66059.0,1760814913115_frame_000006.jpg,0.112500,-0.187500,False,False
66,1760814913.2031007,99741,998932,0.0,1.0,-3.072000,-0.000375,-0.000375,29.19,66054.5,1760814913115_frame_000006.jpg,-0.262500,0.000000,False,False
67,1760814913.2034187,99742,998942,0.0,1.0,-3.072000,0.001500,-0.001125,29.19,66054.5,1760814913115_frame_000006.jpg,0.187500,-0.075000,False,False
68,1760814913.2127733,99743,998952,0.0,1.0,-3.072000,0.000750,0.000750,29.19,66054.5,1760814913208_frame_000007.jpg,-0.075000,0.187500,False,False
69,1760814913.2356105,99744,998962,0.0,1.0,-3.072000,0.001875,0.004500,29.19,66054.5,1760814913208_frame_000007.jpg,0.112500,0.375000,False,False
70,1760814913.2387757,99745,998972,0.0,1.0,-3.072000,-0.000375,-0.000375,29.19,66054.5,1760814913208_frame_000007.jpg,-0.225000,-0.487500,False,False
71,1760814913.2459993,99746,998982,0.0,1.0,-3.072000,0.001500,-0.000375,29.19,66054.5,1760814913208_frame_000007.jpg,0.187500,0.000000,False,False
72,1760814913.2649434,99747,998992,0.0,1.0,-3.072000,0.012000,-0.000750,29.19,66054.5,1760814913208_frame_000007.jpg,1.050000,-0.037500,True,False
73,1760814913.2695823,99748,999002,0.0,1.0,-3.072000,0.000000,0.000750,29.19,66054.5,1760814913208_frame_000007.jpg,-1.200000,0.150000,False,False
74,1760814913.278014,99749,999012,0.0,1.0,-3.072000,-0.000375,0.003000,29.19,66054.5,1760814913208_frame_000007.jpg,-0.037500,0.225000,False,False
75,1760814913.2934148,99750,999022,0.0,1.0,-3.072000,-0.000375,-0.003375,29.84,66115.0,1760814913208_frame_000007.jpg,0.000000,-0.637500,False,False
76,1760814913.2936985,99751,999032,0.0,1.0,-3.072000,-0.001125,0.005250,29.84,66115.0,1760814913208_frame_000007.jpg,-0.075000,0.862500,False,False
77,1760814913.3028262,99752,999042,0.0,1.0,-3.072000,0.001125,0.002625,29.84,66115.0,1760814913208_frame_000007.jpg,0.225000,-0.262500,False,False
78,1760814913.3318672,99753,999052,0.0,1.0,-3.072000,0.003000,0.003000,29.84,66115.0,1760814913311_frame_000008.jpg,0.187500,0.037500,False,False
79,1760814913.3358352,99754,999062,0.0,1.0,-3.072000,0.005250,0.002625,29.84,66115.0,1760814913311_frame_000008.jpg,0.225000,-0.037500,False,False
