minute_bin,direction,voltage_std,motor_speed,sample_count,angle_mean,collapse_count,material,density,tribo_rank,resistivity,grouped_speed
12,Decreasing,0.05243164289468541,1.1308333333333334,12000,32.29236842105263,38,acetal,1.41,-143.33,15,1
1,Increasing,0.0034359905946059516,1.0,12000,31.09432835820896,67,acrylic,1.18,-48.73,14,1
2,Increasing,0.002651025063752552,5.980836527245459,12002,37.010217391304344,138,acrylic,1.18,-48.73,14,6
3,Increasing,0.0031906192247363767,10.965005832361273,12002,42.45507142857143,140,acrylic,1.18,-48.73,14,11
4,Increasing,0.004446898770979201,15.949991665277546,11998,46.02127819548872,133,acrylic,1.18,-48.73,14,16
5,Increasing,0.0064934602887078315,20.942509581736378,12002,49.0294,150,acrylic,1.18,-48.73,14,21
6,Decreasing,0.009149364174159333,26.0,11814,51.956287878787876,132,acrylic,1.18,-48.73,14,26
7,Decreasing,0.011737484155500624,26.0,12002,51.90122448979592,147,acrylic,1.18,-48.73,14,26
8,Decreasing,0.013747664531748086,21.114204734911638,11996,48.87167938931297,131,acrylic,1.18,-48.73,14,21
9,Decreasing,0.014793363900947166,16.127478753541077,12002,45.75692307692307,130,acrylic,1.18,-48.73,14,16
10,Decreasing,0.014734433142218315,11.1425,12000,42.21328571428571,140,acrylic,1.18,-48.73,14,11
11,Decreasing,0.014661560649675791,6.158359726621104,11998,37.44708955223881,134,acrylic,1.18,-48.73,14,6
12,Decreasing,0.011915146622737474,1.1741086304565145,12004,33.9566,50,acrylic,1.18,-48.73,14,1
1,Increasing,0.0026918204058255816,1.0,12000,34.511833333333335,60,acrylic,1.18,-48.73,14,1
2,Increasing,0.002507297907296097,5.9833305550925155,11998,37.809384615384616,130,acrylic,1.18,-48.73,14,6
3,Increasing,0.0031329151780373405,10.971671388101983,12002,42.70155172413793,116,acrylic,1.18,-48.73,14,11
4,Increasing,0.004654899968051092,15.955,12000,45.664680851063835,141,acrylic,1.18,-48.73,14,16
5,Increasing,0.006823068907894032,20.944157359559927,11998,49.3751094890511,137,acrylic,1.18,-48.73,14,21
6,Decreasing,0.009923887410399752,26.0,11832,52.642380952380954,147,acrylic,1.18,-48.73,14,26
7,Decreasing,0.01292587305725356,26.0,12000,53.157006802721085,147,acrylic,1.18,-48.73,14,26
8,Decreasing,0.015134510342622687,21.101666666666667,12000,50.1243537414966,147,acrylic,1.18,-48.73,14,21
9,Decreasing,0.016177231716889017,16.11585264210702,11998,46.33971830985915,142,acrylic,1.18,-48.73,14,16
10,Decreasing,0.01660412230587301,11.130833333333333,12000,42.64262411347517,141,acrylic,1.18,-48.73,14,11
11,Decreasing,0.016230980262461104,6.140833333333333,12000,38.096328125,128,acrylic,1.18,-48.73,14,6
12,Decreasing,0.015528979267230904,1.1625270878479748,11998,32.739649122807016,57,acrylic,1.18,-48.73,14,1
1,Increasing,0.0027160684620547767,1.0,12002,33.68561403508772,57,acrylic,1.18,-48.73,14,1
2,Increasing,0.002951861824206444,5.987495831943981,11996,37.178125,128,acrylic,1.18,-48.73,14,6
3,Increasing,0.003977228393476704,10.977503749375105,12002,42.26908396946565,131,acrylic,1.18,-48.73,14,11
4,Increasing,0.005585135727039384,15.969994999166527,11998,46.274109589041096,146,acrylic,1.18,-48.73,14,16
5,Increasing,0.00778502310531802,20.958340276620564,12002,49.562333333333335,150,acrylic,1.18,-48.73,14,21
